"DATE","Metro","Tier","HPI"
1993-01-01,"Atlanta","High",72.88
1993-02-01,"Atlanta","High",72.81
1993-03-01,"Atlanta","High",72.96
1993-04-01,"Atlanta","High",73.37
1993-05-01,"Atlanta","High",73.77
1993-06-01,"Atlanta","High",73.95
1993-07-01,"Atlanta","High",74.3
1993-08-01,"Atlanta","High",74.43
1993-09-01,"Atlanta","High",74.8
1993-10-01,"Atlanta","High",74.96
1993-11-01,"Atlanta","High",75.05
1993-12-01,"Atlanta","High",75.41
1994-01-01,"Atlanta","High",75.79
1994-02-01,"Atlanta","High",76.6
1994-03-01,"Atlanta","High",76.8
1994-04-01,"Atlanta","High",76.73
1994-05-01,"Atlanta","High",77.15
1994-06-01,"Atlanta","High",77.33
1994-07-01,"Atlanta","High",77.59
1994-08-01,"Atlanta","High",77.61
1994-09-01,"Atlanta","High",77.67
1994-10-01,"Atlanta","High",78.23
1994-11-01,"Atlanta","High",78.81
1994-12-01,"Atlanta","High",79.52
1995-01-01,"Atlanta","High",79.55
1995-02-01,"Atlanta","High",79.81
1995-03-01,"Atlanta","High",79.63
1995-04-01,"Atlanta","High",79.54
1995-05-01,"Atlanta","High",79.35
1995-06-01,"Atlanta","High",79.11
1995-07-01,"Atlanta","High",79.58
1995-08-01,"Atlanta","High",80.07
1995-09-01,"Atlanta","High",80.41
1995-10-01,"Atlanta","High",80.63
1995-11-01,"Atlanta","High",80.72
1995-12-01,"Atlanta","High",81.15
1996-01-01,"Atlanta","High",81.5
1996-02-01,"Atlanta","High",82.11
1996-03-01,"Atlanta","High",82.04
1996-04-01,"Atlanta","High",82.17
1996-05-01,"Atlanta","High",82.26
1996-06-01,"Atlanta","High",82.58
1996-07-01,"Atlanta","High",82.7
1996-08-01,"Atlanta","High",83.06
1996-09-01,"Atlanta","High",83.39
1996-10-01,"Atlanta","High",83.71
1996-11-01,"Atlanta","High",83.94
1996-12-01,"Atlanta","High",83.78
1997-01-01,"Atlanta","High",83.93
1997-02-01,"Atlanta","High",84.07
1997-03-01,"Atlanta","High",84.48
1997-04-01,"Atlanta","High",84.87
1997-05-01,"Atlanta","High",85.35
1997-06-01,"Atlanta","High",85.43
1997-07-01,"Atlanta","High",85.77
1997-08-01,"Atlanta","High",85.74
1997-09-01,"Atlanta","High",86.34
1997-10-01,"Atlanta","High",86.63
1997-11-01,"Atlanta","High",87.15
1997-12-01,"Atlanta","High",87.64
1998-01-01,"Atlanta","High",88.05
1998-02-01,"Atlanta","High",88.57
1998-03-01,"Atlanta","High",89.03
1998-04-01,"Atlanta","High",89.78
1998-05-01,"Atlanta","High",90.31
1998-06-01,"Atlanta","High",90.69
1998-07-01,"Atlanta","High",90.81
1998-08-01,"Atlanta","High",91.04
1998-09-01,"Atlanta","High",91.51
1998-10-01,"Atlanta","High",92.3
1998-11-01,"Atlanta","High",93.13
1998-12-01,"Atlanta","High",93.64
1999-01-01,"Atlanta","High",94.28
1999-02-01,"Atlanta","High",94.69
1999-03-01,"Atlanta","High",95.28
1999-04-01,"Atlanta","High",95.54
1999-05-01,"Atlanta","High",96.24
1999-06-01,"Atlanta","High",96.67
1999-07-01,"Atlanta","High",97.48
1999-08-01,"Atlanta","High",97.74
1999-09-01,"Atlanta","High",98.18
1999-10-01,"Atlanta","High",98.76
1999-11-01,"Atlanta","High",99.21
1999-12-01,"Atlanta","High",100.25
2000-01-01,"Atlanta","High",100.49
2000-02-01,"Atlanta","High",101.73
2000-03-01,"Atlanta","High",101.87
2000-04-01,"Atlanta","High",103.19
2000-05-01,"Atlanta","High",103.63
2000-06-01,"Atlanta","High",104.37
2000-07-01,"Atlanta","High",104.32
2000-08-01,"Atlanta","High",104.57
2000-09-01,"Atlanta","High",104.6
2000-10-01,"Atlanta","High",104.98
2000-11-01,"Atlanta","High",105.55
2000-12-01,"Atlanta","High",105.98
2001-01-01,"Atlanta","High",106.49
2001-02-01,"Atlanta","High",106.76
2001-03-01,"Atlanta","High",107.09
2001-04-01,"Atlanta","High",107.56
2001-05-01,"Atlanta","High",107.81
2001-06-01,"Atlanta","High",108.55
2001-07-01,"Atlanta","High",108.84
2001-08-01,"Atlanta","High",109.45
2001-09-01,"Atlanta","High",110.01
2001-10-01,"Atlanta","High",110.23
2001-11-01,"Atlanta","High",110.02
2001-12-01,"Atlanta","High",109.97
2002-01-01,"Atlanta","High",110.27
2002-02-01,"Atlanta","High",110.91
2002-03-01,"Atlanta","High",111.08
2002-04-01,"Atlanta","High",110.78
2002-05-01,"Atlanta","High",110.9
2002-06-01,"Atlanta","High",111.19
2002-07-01,"Atlanta","High",111.91
2002-08-01,"Atlanta","High",112.23
2002-09-01,"Atlanta","High",112.27
2002-10-01,"Atlanta","High",112.58
2002-11-01,"Atlanta","High",112.91
2002-12-01,"Atlanta","High",113.22
2003-01-01,"Atlanta","High",113.61
2003-02-01,"Atlanta","High",113.92
2003-03-01,"Atlanta","High",114.88
2003-04-01,"Atlanta","High",114.9
2003-05-01,"Atlanta","High",115.17
2003-06-01,"Atlanta","High",115.12
2003-07-01,"Atlanta","High",115.36
2003-08-01,"Atlanta","High",115.67
2003-09-01,"Atlanta","High",116.17
2003-10-01,"Atlanta","High",116.51
2003-11-01,"Atlanta","High",116.92
2003-12-01,"Atlanta","High",117.06
2004-01-01,"Atlanta","High",117.54
2004-02-01,"Atlanta","High",117.89
2004-03-01,"Atlanta","High",118.58
2004-04-01,"Atlanta","High",119.53
2004-05-01,"Atlanta","High",119.7
2004-06-01,"Atlanta","High",119.8
2004-07-01,"Atlanta","High",120.29
2004-08-01,"Atlanta","High",120.72
2004-09-01,"Atlanta","High",121.45
2004-10-01,"Atlanta","High",121.88
2004-11-01,"Atlanta","High",122.71
2004-12-01,"Atlanta","High",123.41
2005-01-01,"Atlanta","High",124.21
2005-02-01,"Atlanta","High",124.81
2005-03-01,"Atlanta","High",125.62
2005-04-01,"Atlanta","High",126.58
2005-05-01,"Atlanta","High",127.01
2005-06-01,"Atlanta","High",127.58
2005-07-01,"Atlanta","High",127.55
2005-08-01,"Atlanta","High",127.93
2005-09-01,"Atlanta","High",128.05
2005-10-01,"Atlanta","High",129.15
2005-11-01,"Atlanta","High",130.55
2005-12-01,"Atlanta","High",131.82
2006-01-01,"Atlanta","High",133.21
2006-02-01,"Atlanta","High",133.43
2006-03-01,"Atlanta","High",133.69
2006-04-01,"Atlanta","High",133.39
2006-05-01,"Atlanta","High",133.94
2006-06-01,"Atlanta","High",134.24
2006-07-01,"Atlanta","High",134.59
2006-08-01,"Atlanta","High",134.6
2006-09-01,"Atlanta","High",134.61
2006-10-01,"Atlanta","High",135.2
2006-11-01,"Atlanta","High",135.42
2006-12-01,"Atlanta","High",135.82
2007-01-01,"Atlanta","High",136.34
2007-02-01,"Atlanta","High",137.18
2007-03-01,"Atlanta","High",137.57
2007-04-01,"Atlanta","High",137.85
2007-05-01,"Atlanta","High",137.36
2007-06-01,"Atlanta","High",136.76
2007-07-01,"Atlanta","High",135.92
2007-08-01,"Atlanta","High",135.35
2007-09-01,"Atlanta","High",134.7
2007-10-01,"Atlanta","High",134.16
2007-11-01,"Atlanta","High",132.77
2007-12-01,"Atlanta","High",132.17
2008-01-01,"Atlanta","High",131.41
